Date,Open,High,Low,Close,Volume
2022-06-23,19970.07,21211.97,19869.41,21104.45,21460.78286
2022-06-24,21104.45,21537.46,20712.54,21223.72,21361.7797
2022-06-25,21221.13,21594.5,20900.0,21478.04,12877.9878
2022-06-26,21474.14,21866.0,20944.68,21027.92,11145.90287
2022-06-27,21024.85,21520.0,20500.0,20725.17,17440.95709
2022-06-28,20722.95,21189.99,20164.7,20252.89,17658.67495
2022-06-29,20253.5,20410.91,19823.43,20094.79,18278.4663
2022-06-30,20098.0,20143.53,18603.0,19985.62,28361.47318
2022-07-01,19985.62,20879.99,18938.33,19252.76,32977.01486
2022-07-02,19252.76,19422.02,18955.02,19224.03,10707.75593
2022-07-03,19225.54,19622.33,18755.75,19291.33,11826.37972
2022-07-04,19291.35,20331.76,19029.33,20211.35,14462.58647
2022-07-05,20212.42,20734.89,19274.95,20153.51,21938.41634
2022-07-06,20153.74,20650.0,19743.0,20542.67,18489.14314
2022-07-07,20542.66,21855.72,20224.8,21614.6,25211.34727
2022-07-08,21618.04,22490.54,21172.0,21582.2,25311.01805
2022-07-09,21582.28,21959.3,21311.04,21583.99,9424.32844
2022-07-10,21582.23,21595.75,20636.53,20850.65,9610.91838
2022-07-11,20850.65,20854.32,19860.12,19942.43,16061.46786
2022-07-12,19942.44,20037.46,19226.47,19303.65,21631.53672
2022-07-13,19304.71,20330.71,18892.0,20220.23,28211.93002
2022-07-14,20219.69,20893.73,19607.14,20577.02,24371.52354
2022-07-15,20574.96,21196.37,20368.67,20827.55,17731.35609
2022-07-16,20823.06,21582.71,20475.94,21189.68,12479.61769
2022-07-17,21189.23,21667.1,20750.1,20791.74,11450.68821
2022-07-18,20791.74,22777.0,20755.95,22427.56,31445.52757
2022-07-19,22434.97,23800.0,21578.57,23395.06,34808.91561
2022-07-20,23398.46,24287.13,22899.0,23226.99,34094.82614
2022-07-21,23225.24,23434.65,22340.07,23153.96,24113.4453
2022-07-22,23152.76,23763.55,22505.56,22687.68,20884.27333
2022-07-23,22688.85,23006.16,21941.01,22450.69,12592.3153
2022-07-24,22451.36,23036.46,22263.85,22583.43,9132.97603
2022-07-25,22583.37,22665.74,21254.97,21313.41,22277.32813
2022-07-26,21312.06,21344.43,20715.0,21261.57,19333.37133
2022-07-27,21260.22,23110.73,21045.73,22962.59,24206.74444
2022-07-28,22960.74,24206.11,22580.86,23851.7,25681.26797
2022-07-29,23851.66,24450.0,23429.71,23784.5,18431.01643
2022-07-30,23787.84,24666.0,23516.11,23650.13,13265.49258
2022-07-31,23648.15,24192.18,23240.01,23307.44,7969.66155
2022-08-01,23307.44,23518.89,22850.0,23273.86,12543.4999
2022-08-02,23273.85,23464.97,22659.06,22989.4,15013.79271
2022-08-03,22994.78,23650.96,22694.56,22825.0,23966.79548
2022-08-04,22824.88,23234.29,22392.88,22623.94,21755.97811
2022-08-05,22624.44,23478.58,22589.83,23320.81,26745.92728
2022-08-06,23320.71,23357.19,22917.49,22960.93,9285.2069
2022-08-07,22960.86,23405.02,22852.13,23177.39,8297.20668
2022-08-08,23180.26,24251.08,23158.32,23815.65,24093.34654
2022-08-09,23815.68,23929.35,22871.66,23158.27,22349.09289
2022-08-10,23158.32,24224.67,22666.23,23962.18,25974.51211
2022-08-11,23959.3,24929.99,23862.66,23944.86,29681.37345
2022-08-12,23944.85,24463.01,23600.01,24415.18,17244.16547
2022-08-13,24415.08,24898.91,24302.36,24456.49,13678.31883
2022-08-14,24456.17,25054.1,24151.63,24316.71,23306.18539
2022-08-15,24316.58,25214.57,23777.0,24097.82,27821.27072
2022-08-16,24099.7,24253.98,23668.0,23857.93,19601.92018
2022-08-17,23857.89,24448.49,23180.14,23341.17,22747.45357
2022-08-18,23344.42,23600.0,23107.27,23189.46,13825.6451
2022-08-19,23188.94,23206.76,20782.39,20834.94,45962.74006
2022-08-20,20834.94,21372.93,20760.93,21139.23,21809.41926
2022-08-21,21139.22,21795.08,21067.33,21518.62,16024.83553
2022-08-22,21514.45,21540.0,20889.69,21398.25,26215.95105
2022-08-23,21396.37,21679.52,20889.69,21528.34,22744.06554
2022-08-24,21526.74,21925.0,21147.41,21367.12,22538.92839
2022-08-25,21367.12,21818.32,21307.32,21561.86,17065.29781
2022-08-26,21561.49,21878.05,20112.78,20240.72,37169.04093
2022-08-27,20240.63,20389.14,19800.0,20036.69,22160.99401
2022-08-28,20035.3,20164.26,19513.74,19554.03,17117.33358
2022-08-29,19552.31,20427.19,19545.57,20286.97,33436.37108
2022-08-30,20286.95,20582.64,19540.14,19813.17,46462.28242852
2022-08-31,19813.97,20489.0,19799.97,20048.26,36587.60323535
2022-09-01,20048.27,20205.53,19561.01,20133.65,23858.64862602
2022-09-02,20132.67,20444.0,19755.0,19953.74,19929.54590305
2022-09-03,19953.4,20053.9,19655.0,19835.47,9538.49811675
2022-09-04,19833.59,20026.2,19588.27,20004.73,10670.60766559
2022-09-05,20003.85,20060.0,19633.11,19794.58,13935.11385555
2022-09-06,19794.59,20179.86,18663.25,18790.91,34029.11126955
2022-09-07,18790.77,19466.09,18527.0,19293.52,25583.39915964
2022-09-08,19293.03,19460.7,19014.43,19321.87,20327.61614165
2022-09-09,19322.56,21616.21,19294.49,21364.5,39579.81208118
2022-09-10,21366.61,21815.15,21127.1,21651.52,17750.76003376
2022-09-11,21656.03,21865.66,21356.37,21831.72,14386.63340528
2022-09-12,21830.16,22490.05,21555.0,22402.71,28404.49469955
2022-09-13,22402.58,22800.0,19855.0,20174.78,37351.56014939
2022-09-14,20174.78,20545.0,19625.0,20227.77,25139.52734416
2022-09-15,20227.7,20336.42,19500.0,19703.67,21124.30384367
2022-09-16,19703.65,19890.95,19305.0,19801.04,24863.81492556
2022-09-17,19800.26,20183.14,19748.89,20113.37,11557.14724341
2022-09-18,20113.37,20119.08,19335.57,19417.64,16437.90668757
2022-09-19,19417.56,19689.62,18255.0,19540.38,30961.4463315
2022-09-20,19538.31,19638.46,18722.0,18876.91,27437.23361358
2022-09-21,18876.14,19949.97,18153.13,18462.64,44344.46282424
2022-09-22,18462.66,19521.8,18358.63,19401.25,41006.95212665
2022-09-23,19399.93,19500.0,18529.0,19286.01,30781.38249694
2022-09-24,19286.03,19311.4,18808.13,18923.2,17644.76169841
2022-09-25,18920.93,19184.3,18619.88,18808.61,14499.16320537
2022-09-26,18806.3,19320.86,18681.02,19228.0,33108.05445715
2022-09-27,19226.94,20383.15,18821.55,19077.57,51860.03004114
2022-09-28,19077.56,19773.67,18487.0,19412.07,43710.30467197
2022-09-29,19412.37,19646.66,18845.3,19595.57,34783.53737085
2022-09-30,19595.59,20182.72,19154.38,19426.11,34243.66392923
2022-10-01,19423.57,19486.43,19160.0,19315.27,7337.45595566
2022-10-02,19315.26,19398.94,18923.81,19059.17,12951.42404465
2022-10-03,19059.1,19717.67,18958.29,19633.46,28571.64018677
2022-10-04,19632.43,20479.43,19495.32,20345.19,32685.41637125
2022-10-05,20345.27,20371.15,19750.0,20161.62,33542.20736149
2022-10-06,20162.15,20455.79,19855.19,19965.64,44044.43606305
2022-10-07,19963.75,20065.26,19325.0,19533.05,34938.97272677
2022-10-08,19531.68,19628.78,19250.0,19419.39,9745.2545363
2022-10-09,19421.49,19563.28,19321.0,19443.47,12537.63788265
2022-10-10,19442.7,19528.04,19028.08,19132.83,26596.56843638
2022-10-11,19130.8,19265.69,18855.19,19058.11,36248.01909763
2022-10-12,19058.42,19235.26,18971.51,19155.92,24862.65344825
2022-10-13,19153.97,19509.23,18131.0,19378.65,49160.49651762
2022-10-14,19375.55,19954.14,19076.83,19178.0,46208.33260444
2022-10-15,19179.15,19229.12,18983.0,19070.24,9062.82835275
2022-10-16,19070.62,19425.49,19065.23,19264.44,8310.92834083
2022-10-17,19261.62,19679.46,19154.72,19550.4,24137.12482696
2022-10-18,19550.39,19702.73,19091.77,19328.76,27645.59742478
2022-10-19,19328.75,19361.0,19062.1,19124.18,22284.13292808
2022-10-20,19123.77,19349.04,18905.0,19042.48,28405.7559743
2022-10-21,19043.66,19254.52,18659.0,19166.45,24206.36088454
2022-10-22,19164.92,19257.66,19110.46,19209.1,7044.99034028
2022-10-23,19209.09,19698.1,19070.92,19572.44,12086.31175412
2022-10-24,19572.2,19603.57,19159.35,19330.41,29432.58356293
2022-10-25,19332.11,20420.88,19240.76,20086.28,42452.33701168
2022-10-26,20086.27,21022.81,20055.85,20775.4,43618.9919315
2022-10-27,20773.59,20878.17,20196.01,20296.97,34123.58255469
2022-10-28,20295.77,20755.09,20000.0,20597.91,29581.75150226
2022-10-29,20597.34,21080.0,20561.2,20823.53,19822.75126022
2022-10-30,20822.38,20939.35,20523.92,20630.68,13737.38848362
2022-10-31,20629.21,20837.68,20237.0,20489.94,22222.73611567
2022-11-01,20489.55,20691.0,20326.55,20479.63,21147.00854592
2022-11-02,20480.34,20805.0,20059.53,20151.4,43913.21904186
2022-11-03,20151.29,20390.82,20032.02,20206.88,26837.37211156
2022-11-04,20208.02,21298.76,20181.61,21144.2,42027.16281295
2022-11-05,21149.03,21478.8,21082.54,21300.45,14076.70487828
2022-11-06,21300.45,21365.89,20886.26,20909.17,10958.4932636
2022-11-07,20908.15,21069.46,20394.34,20593.49,25279.82916936
2022-11-08,20593.34,20675.0,17500.0,18550.25,84056.63082724
2022-11-09,18546.07,18590.34,15512.0,15891.96,119633.96194081
2022-11-10,15894.77,18140.62,15720.0,17553.89,91496.98548059
2022-11-11,17555.44,17641.32,16336.05,17013.62,64776.6547934
2022-11-12,17014.78,17067.7,16595.25,16783.33,23830.0578576
2022-11-13,16783.32,16926.57,16214.95,16301.39,23266.69734743
2022-11-14,16298.75,17169.68,15790.25,16590.73,55601.93469977
2022-11-15,16588.41,17107.88,16502.85,16877.93,48155.32053543
2022-11-16,16879.37,16994.31,16358.66,16645.24,37249.70414522
2022-11-17,16646.58,16736.7,16396.0,16680.47,22484.77507436
2022-11-18,16680.47,16984.08,16526.28,16680.59,26970.34405749
2022-11-19,16678.85,16802.0,16534.83,16683.02,9396.04770097
2022-11-20,16680.7,16733.19,16154.65,16252.53,16685.1909604
2022-11-21,16252.43,16279.99,15460.0,15760.14,43799.91803333
2022-11-22,15758.96,16294.5,15596.22,16199.71,44555.90690195
2022-11-23,16201.15,16700.0,16142.99,16587.0,37143.06609396
2022-11-24,16585.83,16797.28,16450.62,16587.61,21819.50497344
2022-11-25,16587.6,16610.08,16333.0,16510.9,20800.91157317
2022-11-26,16510.9,16693.18,16376.1,16450.93,12308.57070713
2022-11-27,16450.32,16589.43,16395.0,16419.88,10825.69525321
2022-11-28,16421.63,16478.32,15992.64,16206.3,30336.24756667
2022-11-29,16206.23,16541.72,16092.53,16438.0,21901.9847881
2022-11-30,16437.94,17259.37,16423.37,17167.33,42517.61172285
2022-12-01,17165.44,17317.8,16855.0,16980.08,31798.99151828
2022-12-02,16980.07,17108.25,16791.02,17094.71,23096.43686725
2022-12-03,17094.25,17158.42,16863.58,16888.53,14081.4506716
2022-12-04,16889.17,17199.99,16882.86,17108.9,16961.10828839
2022-12-05,17108.9,17424.59,16865.22,16966.05,33618.45109026
2022-12-06,16966.05,17111.35,16904.04,17089.05,26693.6101171
2022-12-07,17089.18,17140.22,16679.52,16840.0,22635.46848793
2022-12-08,16839.76,17300.59,16738.0,17226.01,23533.23453743
2022-12-09,17226.03,17352.62,17060.69,17130.59,20976.81070044
2022-12-10,17130.49,17227.64,17093.42,17128.1,7860.58687575
2022-12-11,17128.1,17271.92,17073.19,17085.21,9948.85267032
2022-12-12,17085.62,17244.63,16875.83,17211.66,20659.65709227
2022-12-13,17212.9,17999.99,17089.17,17773.18,38316.03172467
2022-12-14,17772.98,18385.36,17660.93,17804.97,49295.42072146
2022-12-15,17805.36,17856.26,17275.02,17357.96,37834.73808374
2022-12-16,17359.1,17525.0,16529.53,16632.64,47159.86300655
2022-12-17,16634.29,16799.99,16585.64,16782.25,18446.6836015
2022-12-18,16782.23,16875.0,16663.76,16741.16,11073.43886205
2022-12-19,16742.33,16822.84,16273.4,16439.74,26856.08598724
2022-12-20,16439.98,17060.86,16398.22,16897.65,34330.28235168
2022-12-21,16896.17,16926.05,16725.78,16826.56,16743.62189364
2022-12-22,16825.18,16868.82,16560.84,16815.51,21269.7673979
2022-12-23,16815.28,16943.29,16719.57,16777.21,21958.88697726
2022-12-24,16777.88,16863.62,16775.88,16837.12,9502.80320659
2022-12-25,16837.24,16853.88,16720.89,16829.02,7065.21656572
2022-12-26,16829.19,16939.81,16787.97,16917.96,8493.27661167
2022-12-27,16916.66,16967.0,16585.97,16698.73,17482.09318834
2022-12-28,16698.31,16777.35,16460.0,16539.66,23345.55126307
2022-12-29,16539.66,16654.81,16479.5,16627.54,20088.46487471
2022-12-30,16627.36,16649.99,16326.16,16600.1,26532.28003447
2022-12-31,16599.98,16634.42,16462.49,16530.35,15414.5294044
2023-01-01,16531.83,16621.0,16490.0,16611.58,10668.73697739
2023-01-02,16611.9,16789.99,16542.52,16666.95,13560.46017964
2023-01-03,16666.86,16772.3,16600.0,16669.47,17612.35527749
2023-01-04,16668.95,16988.0,16645.87,16844.42,25922.70680625
2023-01-05,16844.4,16872.13,16750.07,16825.69,14918.22913349
2023-01-06,16825.53,17027.11,16670.82,16948.06,24235.38704157
2023-01-07,16948.0,16977.76,16903.58,16942.37,5680.11799379
2023-01-08,16942.37,17167.52,16910.41,17125.18,9195.45985397
2023-01-09,17125.17,17396.25,17102.97,17177.98,33252.15435855
2023-01-10,17177.94,17494.37,17145.1,17443.5,24901.57485784
2023-01-11,17443.5,17998.0,17315.08,17944.27,27251.01602186
2023-01-12,17944.15,19115.85,17904.83,18847.75,61938.44269045
2023-01-13,18847.77,20000.0,18714.8,19934.88,55049.6223488
2023-01-14,19934.07,21321.98,19893.25,20957.02,58239.87328811
2023-01-15,20956.2,21057.3,20560.16,20879.7,25709.30241812
2023-01-16,20879.67,21465.62,20611.45,21187.5,41151.35428763
2023-01-17,21191.46,21595.0,20844.73,21136.33,32656.47978348
2023-01-18,21135.01,21650.21,20370.01,20674.29,34600.25647175
2023-01-19,20674.03,21197.0,20656.52,21084.22,23436.75404601
2023-01-20,21084.05,22754.73,20865.64,22669.81,32810.59587882
2023-01-21,22671.09,23375.6,22432.45,22789.37,32657.60500465
2023-01-22,22789.34,23082.82,22298.15,22714.87,25548.28914044
2023-01-23,22714.81,23180.55,22500.01,22920.29,32380.77464386
2023-01-24,22920.67,23165.56,22460.17,22636.17,39180.10567306
2023-01-25,22636.19,23824.66,22326.24,23062.36,38496.91631901
2023-01-26,23062.36,23287.38,22853.61,23010.47,30187.8442515
2023-01-27,23011.37,23511.9,22540.76,23084.4,27185.13487749
2023-01-28,23084.38,23196.99,22884.0,23028.95,7466.33930339
2023-01-29,23029.56,23966.0,22974.75,23745.8,20952.76361397
2023-01-30,23744.34,23802.99,22500.0,22836.03,34312.28644397
2023-01-31,22836.03,23313.23,22719.68,23128.86,22721.77475761
2023-02-01,23127.15,23813.57,22760.0,23735.97,20292.22416962
2023-02-02,23735.97,24262.18,23367.87,23493.84,16368.92138269
2023-02-03,23497.29,23720.0,23208.01,23433.54,14215.66842983
2023-02-04,23433.47,23589.67,23257.71,23328.87,3567.13007478
2023-02-05,23329.47,23433.2,22758.01,22936.34,6574.34533251
2023-02-06,22936.34,23163.05,22637.51,22764.07,12149.94486314
2023-02-07,22763.42,23348.73,22748.11,23244.67,9803.34759825
2023-02-08,23244.64,23451.01,22669.09,22964.38,7693.59195866
2023-02-09,22963.91,23011.18,21700.0,21800.63,19277.239648
2023-02-10,21800.62,21942.41,21467.43,21628.97,12641.59512641
2023-02-11,21628.97,21904.0,21605.35,21863.73,4695.91143894
2023-02-12,21863.73,22091.88,21631.0,21789.8,5990.68642903
2023-02-13,21789.79,21903.03,21366.45,21789.14,13246.3049252
2023-02-14,21789.0,22331.76,21545.67,22206.27,14879.72784164
2023-02-15,22206.26,24386.5,22054.17,24329.04,23427.35072192
2023-02-16,24326.95,25256.83,23510.73,23516.15,30034.93494269
2023-02-17,23516.95,25025.0,23344.12,24577.6,22795.35234631
2023-02-18,24577.6,24879.33,24407.67,24636.23,6191.17379627
2023-02-19,24635.85,25200.0,24192.7,24281.31,9733.21021005
2023-02-20,24278.81,25128.11,23841.08,24844.97,13977.17943437
2023-02-21,24844.21,25288.88,24153.96,24454.43,16495.36727028
2023-02-22,24454.08,24480.0,23581.64,24184.44,17390.31077874
2023-02-23,24184.9,24600.95,23612.59,23943.32,16847.70433307
2023-02-24,23943.32,24132.67,22520.0,23186.88,20933.97488913
2023-02-25,23186.88,23220.56,22716.47,23159.71,5937.43847794
2023-02-26,23159.71,23689.77,23052.78,23556.83,6063.45918348
2023-02-27,23556.83,23895.51,23109.06,23489.52,12098.67253518
2023-02-28,23490.01,23597.98,23027.24,23145.32,9516.02766667
2023-03-01,23144.37,23999.99,23025.17,23631.52,12151.84539817
2023-03-02,23632.12,23798.62,23196.09,23468.24,9239.93644458
2023-03-03,23468.79,23477.28,21988.02,22358.18,21715.09355721
2023-03-04,22358.18,22409.82,22150.71,22350.95,2266.21497947
2023-03-05,22349.74,22654.64,22195.13,22432.69,5291.96467583
2023-03-06,22431.99,22599.99,22264.73,22410.31,10660.04864303
2023-03-07,22410.13,22557.03,21932.74,22198.48,10381.24422759
2023-03-08,22198.09,22281.55,21580.84,21698.37,13343.72575834
2023-03-09,21699.41,21825.53,20050.0,20367.01,21326.08097071
2023-03-10,20366.97,20369.78,19568.52,20230.08,32126.59207482
2023-03-11,20230.07,20964.5,19900.5,20620.54,18920.85100043
2023-03-12,20619.34,22276.69,20446.24,22219.08,19165.53317335
2023-03-13,22216.02,24710.0,21882.63,24220.0,38654.82408388
2023-03-14,24220.0,26553.9,24052.0,24762.65,44100.36444555
2023-03-15,24761.61,25300.0,23931.01,24377.16,30128.4276161
2023-03-16,24377.16,25235.28,24207.54,25051.85,20754.42573365
2023-03-17,25052.11,27834.54,24946.86,27453.62,40752.19373629
2023-03-18,27453.75,27780.0,26652.45,26980.35,18096.24372219
2023-03-19,26980.35,28478.0,26904.0,28054.46,16897.41761964
2023-03-20,28058.15,28578.63,27218.36,27823.32,23782.6567676
2023-03-21,27822.85,28605.32,27414.77,28207.33,16193.18924882
2023-03-22,28201.22,28937.73,26678.16,27325.15,33974.43697526
2023-03-23,27324.05,28839.68,27189.19,28352.94,26698.29660165
2023-03-24,28352.95,28433.34,27027.88,27489.24,22190.91292623
2023-03-25,27489.24,27818.67,27184.78,27488.18,9655.9494554
2023-03-26,27489.56,28230.32,27445.04,27992.9,9800.64299441
2023-03-27,27995.27,28053.26,26525.0,27142.87,17268.16335715
2023-03-28,27142.85,27519.99,26640.0,27274.15,14103.92919115
2023-03-29,27274.18,28654.06,27255.42,28359.54,17710.8595857
2023-03-30,28359.54,29190.04,27693.7,28035.48,20972.43924037
2023-03-31,28034.88,28650.2,27512.97,28474.4,18917.3621471
2023-04-01,28475.41,28826.45,28223.76,28471.46,6988.04239657
2023-04-02,28471.03,28544.21,27862.69,28188.34,6707.97702984
2023-04-03,28188.34,28525.0,27227.61,27811.77,16192.03702141
2023-04-04,27809.55,28450.0,27670.24,28179.64,13261.95025317
2023-04-05,28178.66,28799.99,27817.32,28175.37,15066.72449529
2023-04-06,28175.27,28199.11,27716.77,28053.46,10291.80646097
2023-04-07,28052.74,28120.71,27790.21,27931.94,5847.77200458
2023-04-08,27930.12,28175.89,27881.01,27958.81,3854.33490363
2023-04-09,27958.19,28547.67,27814.0,28340.99,6136.4286229
2023-04-10,28342.28,29794.47,28162.49,29660.41,15752.30418782
2023-04-11,29657.7,30584.58,29612.3,30227.19,18637.22157812
2023-04-12,30227.18,30517.0,29675.0,29912.2,14961.08403219
2023-04-13,29912.2,30627.05,29878.08,30406.78,12505.27274115
2023-04-14,30410.03,31050.0,30000.0,30492.92,19793.55777592
2023-04-15,30492.91,30622.38,30231.76,30324.11,5486.7222394
2023-04-16,30325.07,30572.1,30148.28,30326.09,6230.24911461
2023-04-17,30321.41,30340.21,29251.71,29449.91,13418.0380446
2023-04-18,29449.91,30500.0,29103.89,30393.4,12649.52217446
2023-04-19,30394.5,30430.72,28595.28,28809.72,20951.87851572
2023-04-20,28809.71,29102.69,27991.32,28248.18,17007.31210311
2023-04-21,28248.18,28371.88,27133.0,27253.85,19665.99126045
2023-04-22,27252.96,27887.78,27133.0,27821.41,7556.85769964
2023-04-23,27820.99,27820.99,27333.2,27592.98,6255.76778325
2023-04-24,27592.7,28000.0,26965.14,27515.05,12258.59093046
2023-04-25,27513.85,28400.0,27194.51,28304.42,12013.57991051
2023-04-26,28304.42,30050.66,27230.77,28426.08,31636.39150463
2023-04-27,28428.86,29900.0,28387.07,29483.72,24310.36359778
2023-04-28,29486.97,29606.45,28900.0,29338.63,14184.03938836
2023-04-29,29339.47,29470.0,29057.3,29249.35,4909.72717806
2023-04-30,29249.24,29969.99,29095.92,29247.14,6837.06831371
2023-05-01,29240.49,29348.6,27664.31,28077.27,17953.11670042
2023-05-02,28077.44,28899.99,27871.44,28684.4,13258.60505694
2023-05-03,28683.41,29276.12,28122.0,29038.75,15588.83462733
2023-05-04,29039.36,29383.5,28674.58,28857.23,10407.16067489
2023-05-05,28857.88,29706.57,28810.0,29536.76,14691.1261171
2023-05-06,29538.87,29850.0,28394.0,28902.66,8546.79874854
2023-05-07,28901.3,29189.71,28429.12,28474.53,5884.67007423
2023-05-08,28472.68,28676.38,27279.66,27695.06,15859.41839592
2023-05-09,27693.24,27833.64,27367.01,27647.29,8888.42683618
2023-05-10,27647.29,28334.75,26800.0,27624.01,18590.96989908
2023-05-11,27621.5,27649.85,26702.0,26986.56,13438.74631738
2023-05-12,26986.79,27099.21,25810.0,26808.84,18458.49543497
2023-05-13,26808.8,27060.24,26700.0,26789.48,4782.64422745
2023-05-14,26786.99,27221.51,26581.52,26929.98,4393.20531359
2023-05-15,26929.98,27678.73,26740.95,27171.13,11889.94842508
2023-05-16,27165.26,27302.99,26860.12,27037.68,11209.90767959
2023-05-17,27037.72,27516.58,26543.87,27407.77,13308.63176925
2023-05-18,27407.76,27487.71,26361.52,26820.49,12604.94858584
2023-05-19,26819.64,27190.35,26632.73,26890.27,7587.52629065
2023-05-20,26890.27,27178.99,26836.21,27113.61,3127.42757901
2023-05-21,27113.97,27288.02,26667.63,26752.65,5534.52475759
2023-05-22,26751.0,27105.63,26536.99,26854.73,8554.42214009
2023-05-23,26854.09,27500.0,26803.46,27223.22,11594.53703302
2023-05-24,27222.86,27225.0,26070.04,26321.4,17337.44431587
2023-05-25,26321.42,26625.93,25864.35,26479.06,12094.45706071
2023-05-26,26479.15,26950.0,26334.33,26714.86,9858.60032184
2023-05-27,26711.56,26943.6,26559.96,26867.99,3348.37908169
2023-05-28,26870.13,28277.56,26780.11,28070.04,9725.64198967
2023-05-29,28070.04,28473.93,27534.81,27744.82,11355.24110493
2023-05-30,27744.81,28057.23,27555.0,27700.15,12024.43059692
2023-05-31,27700.68,27844.89,26842.94,27223.08,15163.06255735
2023-06-01,27221.54,27360.31,26615.0,26828.42,11927.59445097
2023-06-02,26827.73,27307.44,26508.0,27250.69,12206.16873203
2023-06-03,27252.67,27341.13,26923.35,27077.6,3589.32341986
2023-06-04,27078.27,27466.83,26958.98,27122.04,4115.09881956
2023-06-05,27122.03,27137.75,25391.43,25741.5,16641.46931851
2023-06-06,25741.5,27368.67,25351.92,27243.63,18531.05925936
2023-06-07,27243.45,27402.79,26121.06,26346.41,16094.36989743
2023-06-08,26347.09,26820.3,26212.63,26508.32,8160.84833962
2023-06-09,26505.71,26780.4,26283.5,26482.81,10536.83247431
2023-06-10,26482.8,26534.95,25385.52,25856.1,16967.73205546
2023-06-11,25856.1,26219.1,25648.0,25937.02,8653.83803604
2023-06-12,25936.98,26108.64,25616.98,25905.82,10491.06768405
2023-06-13,25905.99,26435.81,25710.78,25930.23,14396.74678337
2023-06-14,25929.35,26090.0,24821.0,25123.34,14480.51749351
2023-06-15,25123.41,25749.99,24750.0,25569.99,18601.18891862
2023-06-16,25569.99,26486.56,25143.24,26329.6,16632.7425402
2023-06-17,26329.6,26783.2,26165.98,26506.56,7209.4251028
2023-06-18,26507.97,26693.11,26245.27,26336.46,5233.68378154
2023-06-19,26336.46,27040.64,26250.0,26837.78,9643.06748389
2023-06-20,26839.04,28417.11,26637.41,28320.43,28704.55295587
2023-06-21,28320.41,30800.0,28271.67,29995.08,31445.78143275
2023-06-22,29999.85,30513.25,29539.57,29886.31,18457.66785815
2023-06-23,29886.25,31443.67,29802.65,30707.61,22659.54058513
2023-06-24,30709.59,30815.92,30265.88,30547.18,6883.28318615
2023-06-25,30547.3,31057.86,30288.33,30480.24,6265.47434464
2023-06-26,30480.24,30662.66,29900.0,30272.18,12491.83081677
2023-06-27,30272.24,31020.54,30228.44,30697.38,11995.526853
2023-06-28,30696.06,30716.93,29840.0,30074.94,9391.66542094
2023-06-29,30074.93,30838.0,30036.18,30446.47,12261.34048625
2023-06-30,30445.67,31277.0,29417.14,30466.72,26013.22734909
2023-07-01,30466.73,30659.33,30312.8,30587.21,4012.76538882
2023-07-02,30587.22,30791.75,30165.39,30613.51,4829.83871313
2023-07-03,30613.57,31399.08,30569.0,31161.8,11391.98257522
2023-07-04,31162.71,31333.0,30628.3,30771.25,7233.95188576
2023-07-05,30772.93,30882.95,30189.56,30499.27,8782.6192239
2023-07-06,30499.27,31525.1,29850.0,29899.38,17229.92231032
2023-07-07,29895.6,30456.0,29715.87,30352.08,11137.14221055
2023-07-08,30350.35,30388.91,30047.78,30291.69,3856.11078847
2023-07-09,30291.69,30451.78,30066.95,30168.38,3884.04687903
2023-07-10,30168.26,31055.75,29955.0,30419.89,12703.78162563
2023-07-11,30419.89,30811.65,30304.45,30626.55,10653.5761104
2023-07-12,30624.65,31000.0,30200.0,30381.81,14881.70511963
2023-07-13,30383.26,31862.21,30250.73,31471.83,26135.6192364
2023-07-14,31471.83,31645.66,29920.31,30330.52,19272.20339271
2023-07-15,30330.93,30406.27,30254.67,30301.65,2559.07232743
2023-07-16,30302.01,30457.03,30075.93,30247.64,4021.41012275
2023-07-17,30247.56,30345.45,29668.58,30143.08,10632.8066781
2023-07-18,30143.08,30249.3,29525.0,29861.93,11124.83936583
2023-07-19,29861.92,30196.24,29757.44,29916.72,8804.54675154
2023-07-20,29916.69,30421.29,29564.19,29809.13,11494.95348803
2023-07-21,29809.13,30060.28,29729.48,29907.98,7598.60930317
2023-07-22,29907.15,30002.38,29626.86,29795.03,3629.48251055
2023-07-23,29793.62,30350.7,29733.55,30081.61,4513.83214295
2023-07-24,30081.61,30099.99,28850.0,29176.98,14484.27557634
2023-07-25,29176.98,29376.51,29046.0,29225.14,7139.21073686
2023-07-26,29225.11,29686.41,29089.54,29353.23,9635.03503236
2023-07-27,29350.88,29571.42,29075.0,29214.92,7327.29083361
2023-07-28,29214.93,29532.45,29115.32,29316.15,7104.73639515
2023-07-29,29316.05,29411.09,29253.44,29355.71,2893.05298823
2023-07-30,29356.65,29450.0,29033.0,29281.39,4387.57256615
2023-07-31,29280.41,29526.99,29102.65,29230.67,8793.38694965
2023-08-01,29230.61,29726.73,28477.0,29697.27,17754.05118102
2023-08-02,29699.25,30033.0,28903.79,29164.22,17967.34799565
2023-08-03,29163.87,29399.97,28938.93,29174.18,8920.01477716
2023-08-04,29174.84,29312.28,28747.1,29076.48,7291.14687702
2023-08-05,29077.04,29111.87,28946.17,29047.12,2490.84710469
2023-08-06,29047.33,29163.24,28955.0,29040.01,2461.64012073
2023-08-07,29040.01,29246.0,28660.53,29179.21,9200.08523317
2023-08-08,29179.28,30222.0,29104.65,29770.01,15610.25491294
2023-08-09,29770.01,30128.88,29344.16,29562.76,10451.45167511
